strategy,query_index,group_id,variant,cache_event,latency_ms,tokens_generated,memory_mb,response_preview
Baseline,1,cpu-opt-1,canonical,miss,172.10664861474606,19,24.28860739409977,Simulated response for: Explain how semantic caching reduces repeated LL
Baseline,2,cpu-opt-1,exact_repeat_1,miss,172.10664861474606,19,24.28860739409977,Simulated response for: Explain how semantic caching reduces repeated LL
Baseline,3,cpu-opt-1,exact_repeat_2,miss,172.10664861474606,19,24.28860739409977,Simulated response for: Explain how semantic caching reduces repeated LL
Baseline,4,cpu-opt-1,paraphrase_1,miss,165.08292095708822,25,23.034922867707476,Simulated response for: How does semantic caching lower repeated CPU inf
Baseline,5,cpu-opt-1,paraphrase_2,miss,174.45302224089895,25,23.044086124303426,Simulated response for: Why can semantic caches reduce the cost of repea
Baseline,6,cpu-opt-2,canonical,miss,168.13503485078456,19,19.033479627881018,Simulated response for: Describe why quantization helps large language m
Baseline,7,cpu-opt-2,exact_repeat_1,miss,168.13503485078456,19,19.033479627881018,Simulated response for: Describe why quantization helps large language m
Baseline,8,cpu-opt-2,exact_repeat_2,miss,168.13503485078456,19,19.033479627881018,Simulated response for: Describe why quantization helps large language m
Baseline,9,cpu-opt-2,paraphrase_1,miss,169.2249564765334,20,24.35263239143195,Simulated response for: Why does quantization make LLM inference faster 
Baseline,10,cpu-opt-2,paraphrase_2,miss,169.8164483111447,19,20.228277731424505,Simulated response for: Explain how lower precision weights improve CPU 
Baseline,11,cpu-opt-3,canonical,miss,150.79181878252365,22,20.935950399299166,Simulated response for: Summarize the role of KV-cache in long-context t
Baseline,12,cpu-opt-3,exact_repeat_1,miss,150.79181878252365,22,20.935950399299166,Simulated response for: Summarize the role of KV-cache in long-context t
Baseline,13,cpu-opt-3,exact_repeat_2,miss,150.79181878252365,22,20.935950399299166,Simulated response for: Summarize the role of KV-cache in long-context t
Baseline,14,cpu-opt-3,paraphrase_1,miss,162.94309709317398,20,23.901849518092355,Simulated response for: What does the KV cache do for long-context trans
Baseline,15,cpu-opt-3,paraphrase_2,miss,157.41287488703418,23,22.80358572476047,Simulated response for: Explain why a KV cache matters during long-conte
